TEAM,NUMBER_OF_GAMES,NUMBER_OF_GOALS_SCORED,TOTAL_ATTEMPTS,GOALS_IN_18,GOALS_OUTSIDE_18,ASSISTS,SHOTS_ON_TARGET,SHOTS_OFF_TARGET,ATTEMPTS_IN_18,ATTEMPTS_OUTSIDE_18,LC,LIC,CC,RIC,RC,TOTAL_OFFERS_TO_RECEIVE,INBEHIND_OFFERS_TO_RECEIVE,INBETWEEN_OFFERS_TO_RECEIVE,INFRONT_OFFERS_TO_RECEIVE,RECEPTIONS_BETWEEN_MID_AND_DEF,ATTEMPTED_LINE_BREAKS,COMPLETED_LINE_BREAKS,ATTEMPTED_DEFENSIVE_LINE_BREAKS,COMPLETED_DEFENSIVE_LINE_BREAKS,YELLOW_CARDS,RED_CARDS,FOULS,OFFSIDES,PASSES,PASSES_COMPLETED,CROSSES,CROSSES_COMPLETED,SWITCHES_OF_PLAY,CORNERS,FREE_KICKS,PENALTIES,GOAL_PREVENTIONS,OWN_GOALS,FORCED_TURNOVERS,DEFENSIVE_PRESSURES
ARGENTINA,7,2.142857142857143,14.857142857142858,2,"0.14285714285714285",1.1428571428571428,6.857142857142857,6,9.428571428571429,5.428571428571429,12.857142857142858,6.571428571428571,7.571428571428571,6,14.428571428571429,656.4285714285714,128.28571428571428,242.42857142857142,285.7142857142857,16.285714285714285,187,130.57142857142858,24.142857142857142,13.571428571428571,2.2857142857142856,"0",14.285714285714286,3.2857142857142856,625,548.7142857142857,16.428571428571427,4.285714285714286,5.428571428571429,5.571428571428571,17.571428571428573,"0.5714285714285714",6.428571428571429,"0.14285714285714285",70.57142857142857,241.14285714285714
AUSTRALIA,4,1,6.25,"0.75","0","0.75",2.25,2.5,3.25,3,9.75,2,3.25,3.75,12,425.75,99,156.5,170.25,7.75,154,87,15.75,7.75,1.75,"0",13,"0.25",384,301.5,14.5,2.5,4,2,12,"0",15.75,"0",76.75,345.75
BELGIUM,3,"0.3333333333333333",11.333333333333334,"0.3333333333333333","0","0.3333333333333333",3.6666666666666665,6.333333333333333,7.666666666666667,3.6666666666666665,12,5.333333333333333,5,3.3333333333333335,8,643.6666666666666,127.33333333333333,220,296.3333333333333,8,167,112.33333333333333,17.333333333333332,7.666666666666667,1.6666666666666667,"0",10,1,593,522.6666666666666,17,5.333333333333333,4.666666666666667,5.666666666666667,14.333333333333334,"0",14.333333333333334,"0",60,274.6666666666667
BRAZIL,5,1.6,18,1.6,"0",1.2,8.2,6.8,11.4,6.6,19.6,8.2,8.2,6.8,15.8,686.4,149,263.4,274,12.8,181.4,131.8,18.2,11.4,1.2,"0",12.6,1.6,601.8,539.2,23.2,4.8,5.6,7.4,17,"0.2",6.8,"0",72.2,295.4
CAMEROON,3,1.3333333333333333,9,1.3333333333333333,"0",1.3333333333333333,4.666666666666667,2.6666666666666665,6.666666666666667,2.3333333333333335,7.333333333333333,7.666666666666667,4,4.333333333333333,14,459,100,180.33333333333334,178.66666666666666,9.666666666666666,166.33333333333334,91,18,7.666666666666667,2.6666666666666665,"0.3333333333333333",10.666666666666666,"0.6666666666666666",386.3333333333333,311.3333333333333,17.333333333333332,2.6666666666666665,5.666666666666667,4,15.333333333333334,"0",14.666666666666666,"0",80,307.3333333333333
CANADA,3,"0.6666666666666666",11.666666666666666,"0.3333333333333333","0","0.3333333333333333",2,6.333333333333333,7.333333333333333,4.333333333333333,15.666666666666666,4.666666666666667,4.333333333333333,5,14.666666666666666,625.6666666666666,150,245.66666666666666,230,9.666666666666666,176.66666666666666,116,19.666666666666668,9,2.6666666666666665,"0",11,2.6666666666666665,499.3333333333333,429.3333333333333,18,5,5.333333333333333,4,14,"0",9.666666666666666,"0",61.666666666666664,286.6666666666667
COSTA RICA,3,1,4,1,"0","0.3333333333333333",2.3333333333333335,"0.6666666666666666",2.3333333333333335,1.6666666666666667,6.666666666666667,1.6666666666666667,2.3333333333333335,"0.6666666666666666",2,341,76.33333333333333,145.66666666666666,119,4,142.33333333333334,82,9.333333333333334,2.6666666666666665,2,"0",8,4.333333333333333,340.6666666666667,270,7.333333333333333,1,4,"0.3333333333333333",15,"0",21,"0",73.66666666666667,419
CROATIA,7,1.1428571428571428,11.571428571428571,1,"0.14285714285714285",1.1428571428571428,4,5.142857142857143,6.714285714285714,4.857142857142857,16.714285714285715,5.428571428571429,4.714285714285714,3.857142857142857,13.142857142857142,628.8571428571429,131.42857142857142,253.85714285714286,243.57142857142858,11.857142857142858,197.71428571428572,136.28571428571428,19,10,1.1428571428571428,"0",12.857142857142858,1.5714285714285714,610.2857142857143,532,23.285714285714285,5.142857142857143,9.428571428571429,4.285714285714286,15.142857142857142,"0",11.714285714285714,"0",78.28571428571429,301.85714285714283
DENMARK,3,"0.3333333333333333",11.666666666666666,"0.3333333333333333","0","0.3333333333333333",3,5.666666666666667,7.666666666666667,4,19,4.666666666666667,4.666666666666667,5.333333333333333,20.666666666666668,645.3333333333334,156.33333333333334,267.6666666666667,221.33333333333334,16,201.33333333333334,146.66666666666666,21.666666666666668,14.666666666666666,1.6666666666666667,"0",9.333333333333334,1.6666666666666667,593.6666666666666,521,25.666666666666668,6.333333333333333,11.333333333333334,7,9.333333333333334,"0",13.333333333333334,"0",70.33333333333333,223
ECUADOR,3,1.3333333333333333,9,1.3333333333333333,"0","0.6666666666666666",4,3,5.666666666666667,3.3333333333333335,10.333333333333334,5,3,5,5.333333333333333,508.6666666666667,98.66666666666667,212.33333333333334,197.66666666666666,7.333333333333333,152,86.66666666666667,15,6.333333333333333,1,"0",16.666666666666668,2.6666666666666665,445.6666666666667,369,18.333333333333332,4.666666666666667,4,3.6666666666666665,15.666666666666666,"0.3333333333333333",7.333333333333333,"0",61,249.33333333333334
