ID,TEAM,NUMBER_OF_GAMES,FINAL_POSSESSION,NUMBER_OF_GOALS_SCORED,TOTAL_ATTEMPTS,GOALS_IN_18,GOALS_OUTSIDE_18,ASSISTS,SHOTS_ON_TARGET,SHOTS_OFF_TARGET,ATTEMPTS_IN_18,ATTEMPTS_OUTSIDE_18,LC,LIC,CC,RIC,RC,TOTAL_OFFERS_TO_RECEIVE,INBEHIND_OFFERS_TO_RECEIVE,INBETWEEN_OFFERS_TO_RECEIVE,INFRONT_OFFERS_TO_RECEIVE,RECEPTIONS_BETWEEN_MID_AND_DEF,ATTEMPTED_LINE_BREAKS,COMPLETED_LINE_BREAKS,ATTEMPTED_DEFENSIVE_LINE_BREAKS,COMPLETED_DEFENSIVE_LINE_BREAKS,YELLOW_CARDS,RED_CARDS,FOULS,OFFSIDES,PASSES,PASSES_COMPLETED,CROSSES,CROSSES_COMPLETED,SWITCHES_OF_PLAY,CORNERS,FREE_KICKS,PENALTIES,GOAL_PREVENTIONS,OWN_GOALS,FORCED_TURNOVERS,DEFENSIVE_PRESSURES
1,ARGENTINA,7,51.142857142857146,15,104,14,1,8,48,42,66,38,90,46,53,42,101,4595,898,1697,2000,114,1309,914,169,95,16,"0",100,23,4375,3841,115,30,38,39,123,4,45,1,494,1688
2,AUSTRALIA,4,31.25,4,25,3,"0",3,9,10,13,12,39,8,13,15,48,1703,396,626,681,31,616,348,63,31,7,"0",52,1,1536,1206,58,10,16,8,48,"0",63,"0",307,1383
3,BELGIUM,3,49.666666666666664,1,34,1,"0",1,11,19,23,11,36,16,15,10,24,1931,382,660,889,24,501,337,52,23,5,"0",30,3,1779,1568,51,16,14,17,43,"0",43,"0",180,824
4,BRAZIL,5,50.4,8,90,8,"0",6,41,34,57,33,98,41,41,34,79,3432,745,1317,1370,64,907,659,91,57,6,"0",63,8,3009,2696,116,24,28,37,85,1,34,"0",361,1477
5,CAMEROON,3,38.333333333333336,4,27,4,"0",4,14,8,20,7,22,23,12,13,42,1377,300,541,536,29,499,273,54,23,8,1,32,2,1159,934,52,8,17,12,46,"0",44,"0",240,922
6,CANADA,3,47,2,35,1,"0",1,6,19,22,13,47,14,13,15,44,1877,450,737,690,29,530,348,59,27,8,"0",33,8,1498,1288,54,15,16,12,42,"0",29,"0",185,860
7,COSTA RICA,3,27.666666666666668,3,12,3,"0",1,7,2,7,5,20,5,7,2,6,1023,229,437,357,12,427,246,28,8,6,"0",24,13,1022,810,22,3,12,1,45,"0",63,"0",221,1257
8,CROATIA,7,48,8,81,7,1,8,28,36,47,34,117,38,33,27,92,4402,920,1777,1705,83,1384,954,133,70,8,"0",90,11,4272,3724,163,36,66,30,106,"0",82,"0",548,2113
9,DENMARK,3,53,1,35,1,"0",1,9,17,23,12,57,14,14,16,62,1936,469,803,664,48,604,440,65,44,5,"0",28,5,1781,1563,77,19,34,21,28,"0",40,"0",211,669
10,ECUADOR,3,46.666666666666664,4,27,4,"0",2,12,9,17,10,31,15,9,15,16,1526,296,637,593,22,456,260,45,19,3,"0",50,8,1337,1107,55,14,12,11,47,1,22,"0",183,748
11,ENGLAND,5,57.8,13,60,12,1,11,27,21,42,18,66,23,22,24,54,3969,730,1574,1665,54,944,693,90,56,1,"0",53,5,3052,2723,94,30,43,25,74,1,45,"0",280,995
12,FRANCE,7,44.857142857142854,16,101,15,1,12,35,42,73,28,113,41,29,29,103,3757,746,1269,1742,87,1065,721,124,82,8,"0",69,16,3656,3192,146,49,28,38,98,2,80,"0",524,1986
